2024-06-26 01:11:07,1.0,8,8,2024-06-25 18:15:45
2024-06-26 06:41:23,1.0,13,13,2024-06-26 01:11:07
2024-06-26 12:47:32,1.0,12,12,2024-06-26 06:41:23
2024-06-26 19:41:13,1.0,9,9,2024-06-26 12:47:32
2024-06-27 01:18:10,1.0,15,15,2024-06-26 19:41:13
2024-06-27 07:24:19,1.0,17,17,2024-06-27 01:18:10
2024-06-28 18:03:35,0.08484848484848485,14,165,2024-06-28 12:22:28
2024-06-28 23:55:33,1.0,7,7,2024-06-28 18:03:35
2024-06-29 06:07:32,1.0,9,9,2024-06-28 23:55:33
2024-07-01 22:35:27,1.0,11,11,2024-07-01 16:51:50
2024-07-02 04:14:55,1.0,13,13,2024-07-01 22:35:27
2024-07-02 10:41:04,1.0,10,10,2024-07-02 04:14:55
2024-07-02 16:12:11,1.0,12,12,2024-07-02 10:41:04
2024-07-02 21:44:08,1.0,20,20,2024-07-02 16:12:11
2024-07-03 03:21:05,1.0,10,10,2024-07-02 21:44:08
2024-07-03 09:14:43,0.9285714285714286,13,14,2024-07-03 03:21:05
2024-07-03 15:01:41,0.9090909090909091,10,11,2024-07-03 09:14:43
2024-07-03 21:59:32,0.9166666666666666,11,12,2024-07-03 15:01:41
