2024-07-11 17:33:45,2024-07-11 17:33:45,1,1,1.0
2024-07-11 17:56:16,2024-07-11 17:56:16,1,1,1.0
2024-07-11 20:28:47,2024-07-12 04:05:51,4,6,0.6666666666666666
2024-07-12 06:00:57,2024-07-12 10:57:52,3,4,0.75
2024-07-12 17:57:24,2024-07-13 00:48:36,3,4,0.75
2024-07-13 02:21:11,2024-07-13 10:00:45,4,4,1.0
2024-07-13 17:29:28,2024-07-14 00:34:50,6,6,1.0
2024-07-14 05:31:46,2024-07-14 10:48:43,3,3,1.0
2024-07-14 15:24:47,2024-07-14 18:21:36,4,4,1.0
2024-07-14 23:41:53,2024-07-15 06:00:33,6,6,1.0
2024-07-15 09:12:23,2024-07-15 09:12:23,1,1,1.0
2024-07-15 18:22:39,2024-07-16 01:40:32,5,5,1.0
2024-07-16 06:05:46,2024-07-16 09:24:16,3,3,1.0
2024-07-16 14:27:02,2024-07-16 22:01:36,8,8,1.0
2024-07-17 04:54:28,2024-07-17 11:37:19,5,5,1.0
2024-07-17 14:32:28,2024-07-17 20:14:26,7,7,1.0
2024-07-18 01:01:21,2024-07-18 08:45:55,6,7,0.8571428571428571
2024-07-18 09:35:08,2024-07-18 16:06:18,5,5,1.0
2024-07-18 19:38:09,2024-07-19 02:21:00,4,4,1.0
2024-07-19 06:48:44,2024-07-19 11:01:28,6,6,1.0
2024-07-19 17:32:38,2024-07-20 01:30:33,3,3,1.0
2024-07-20 02:07:15,2024-07-20 08:55:57,11,11,1.0
2024-07-20 11:38:35,2024-07-20 15:08:46,3,3,1.0
2024-07-20 19:44:51,2024-07-21 02:46:53,3,5,0.6
2024-07-21 05:32:52,2024-07-21 13:20:46,7,9,0.7777777777777778
2024-07-21 15:40:53,2024-07-21 16:25:06,2,2,1.0
2024-07-22 00:04:40,2024-07-22 01:27:14,2,2,1.0
2024-07-22 13:30:22,2024-07-22 18:46:29,4,4,1.0
