0.501,1.001,27,29,0.9310344827586207
1.0019999999999998,1.5019999999999998,12,13,0.9230769230769231
1.5029999999999997,2.0029999999999997,7,9,0.7777777777777778
2.0039999999999996,2.5039999999999996,6,8,0.75
2.5049999999999994,3.0049999999999994,8,9,0.8888888888888888
3.0059999999999993,3.5059999999999993,9,11,0.8181818181818182
3.5069999999999992,4.007,8,12,0.6666666666666666
4.008,4.508,5,13,0.38461538461538464
4.509,5.009,3,16,0.1875
5.010000000000001,5.510000000000001,2,25,0.08
5.511000000000001,6.011000000000001,2,70,0.02857142857142857
6.012000000000001,6.013000000000002,1,6,0.16666666666666666
